B_odds,R_odds,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,win_streak_dif,loss_dif,reach_dif,age_dif,r_dec_odds,b_dec_odds,b_sub_odds,r_ko_odds,b_ko_odds,winner
210,-240,2,3,1,-1,0,9,120,275,1100,575,1800,underdog
270,-300,0,4,0,-3,-8,2,-115,400,1600,1600,2500,favored
122,-135,1,3,-4,7,-2,0,225,400,1000,400,400,favored
480,-549,0,1,-1,3,-2,1,135,1200,2400,350,1200,underdog
-165,146,1,1,0,-8,-3,-10,410,650,1600,500,110,underdog
155,-180,2,5,0,1,-5,-1,175,330,1700,700,550,underdog
-135,110,0,2,0,2,-8,-1,340,245,1400,950,280,favored
160,-185,0,1,0,0,-26,-3,240,550,850,575,460,favored
260,-300,3,3,0,8,-8,1,-155,480,1200,500,2500,favored
175,-200,2,5,2,5,2,4,-105,460,1600,1300,450,favored
135,-148,1,9,1,0,-3,2,275,275,700,190,1100,underdog
