B_odds,R_odds,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,win_streak_dif,loss_dif,reach_dif,age_dif,r_dec_odds,b_dec_odds,b_sub_odds,r_ko_odds,b_ko_odds
125,-140,1,8,1,-2,-2,3,140,160,2200,1100,1400
-110,-105,0,3,0,-8,4,0,285,390,280,265,850
-310,250,1,5,0,-3,6,-5,600,-141,600,1600,800
-230,195,0,3,0,-2,-1,-8,650,225,700,450,150
130,-148,1,4,-2,0,10,-10,110,215,1600,2200,800
-135,126,0,2,-2,4,-7,-9,575,800,1100,380,140
110,-115,0,6,0,1,2,3,320,300,600,275,950
360,-400,3,3,0,-5,1,0,380,800,2200,-145,950
-175,145,2,2,0,-2,10,-4,300,550,1400,700,-105
300,-380,0,0,-3,3,-6,11,600,1400,2500,-175,450
350,-455,3,8,-10,13,-3,8,275,1000,2000,350,550
